Id,AyahText,SurahNo,AyahNumber,Comment
1,Раҳмон/яратиб ризқ берган ва Раҳим/ўргатиб тарбиялаган Аллоҳнинг исми билан (96:1-5),1,1,
2,"Оламларнинг Рабби* Аллоҳга ҳамд бўлсин, (96:3)",1,2,
3,"Раҳмон/Оламларни яратиб ризқ берган; Раҳим/одамзотнинг билмаганини ўргатиб тарбиялаган, (96:4-5)",1,3,
4,Дин Куни*нинг/илоҳий ҳукмлар устивор бўлган даврнинг Ҳукмдори/Эгаси. (96:6-8),1,4,
5,Ёлғиз Сенга қуллик/хизмат қиламиз* (96:9) Ёлғиз Сендан мадад сўраймиз* - (96:10),1,5,
6,Тўғри Йўлни ўргат бизларга - (96:11),1,6,
7,"Сен Неъмат берганларнинг* Йўлини (96:12), Ғазабга учраганларнинг эмас, Адашганларнинг ҳам эмас (96:13).",1,7,
8,АЛИФ ЛОМ МИМ,2,1,
9,Ўша КИТОБ/Қонуният - унда шубҳа йўқки - Тақво қилувчилар учун Тўғри Йўлни кўрсатишдир.,2,2,
10,"Улар Ғайбга/Кўзга кўринмаган ҳақиқатларга /илоҳий ваъдаларга ишонадилар, ва Салотни қоим қиладилар/Кўрсатилган Йўлга эргашадилар, ва Биз берган ризқдан Инфоқ этадилар.",2,3,
11,Улар сенга нозил қилинганга ишонадилар ва сендан олдин нозил қилинганга ишонадилар ҳамда Охиратга/Қиёмат Кунидаги ҳисоб-китоб ва мукофот/жазога қатъий ишонадилар.,2,4,
12,"Ана ўшалар Раббининг кўрсатган Тўғри Йўлида, ана ўшалар Нажот топадилар/муродига етадилар.",2,5,
13,"Кофир бўлганлар эса, огоҳ этсанг ҳам огоҳ этмасанг ҳам, барибир имон келтирмайди.",2,6,
14,"Аллоҳ уларнинг қалбини муҳрлаб қўйган, уларнинг қулоқлари ва кўзларини парда қоплаган. Улар учун Улуғ Азоб бор.",2,7,
15,"Бу одамлар орасида шундайлари бор, ўзлари имон келтирмаган, аммо “Аллоҳга ва Охират кунига имон келтирдик”, дейишади.",2,8,
16,"Улар Аллоҳни ва имон келтирганларни алдамоқчилар. Бироқ ўзларидан/бир-бирларидан бошқани алдай олмайди, лекин буни сезишмайди.",2,9,
17,"Уларнинг қалбларида мараз/касаллик бор, Аллоҳ маразларини орттиради. Ёлғонлари боис уларга Аламли Азоб бор.",2,10,
18,"Қачонки уларга: “Ер юзида бузғунчилик қилманг!” дейилса, “Биз фақат ислоҳ қиламиз!” дейишади.",2,11,
19,"Билиб қўйинг, улар ўзлари Бузғунчилар, бироқ буни сезишмайди.",2,12,
20,"Қачонки уларга: “Мана бу кишилар каби иймон келтиринг!”, дейилса, улар дейишади: “Мана шу нодонлар каби иймон келтирайликми?” Билиб қўйинг, улар ўзлари Нодонлар, бироқ буни билишмайди.",2,13,
21,"Қачонки имон келтирганларга йўлиққанида, улар дейишади: “Биз иймон келтирганмиз”. Қачонки, Шайтонлари/йўлдан оздирувчилари билан холий қолганларида, дейишади: “Биз аслида сиз биланмиз, биз фақат устларидан кулаяпмиз”.",2,14,
22,"Аллоҳ уларнинг устидан кулади - уларни ўз Туғёнида/ўша ҳаддан ошишида, адашиб-улоқишида қўйиб беради.",2,15,
23,"Ана ўшалар, Тўғри Йўл ўрнига Адашувни сотиб олганлар. Бу тижоратлари фойда бермади, улар Тўғри Йўлга юрганлар бўлмади.",2,16,
24,"Улар бамисоли ОЛОВ ёққан одам каби. Ёққан олови эндигина атрофини ёритганида, Аллоҳ уни ўчиради, улар қоронғуда қолади, ҳеч нарса кўрмайди.",2,17,
25,"Улар кар, соқов, кўр, шу боис қайта олмайдилар.",2,18,
26,"Ёки бамисоли самодан ёмғир ёғиб, қоронғу босиб, момақалдироқ ва чақмоқ чаққанида, яшиндан қочиб, бармоқларини қулоқларига тиққан ва ўлимдан сақланмоқчи бўлган кимса каби. Аллоҳ бундай кофирларни ўраб/ихота қилиб олади.",2,19,
27,"Чақмоқ уларнинг кўзини олиб қўяй дейди. Ёришган пайтда юриб олишади, қоронғи бўлганда, тўхташади. Аллоҳ истаганда, уларнинг кўз-қулоқларини олиб қўйган бўларди. Аллоҳ барча нарсага қодир/барча нарсанинг ўлчовини қўйган.",2,20,
28,"Эй одамлар! Яратган Раббингизга қуллик/хизмат қилинг! У сизни ҳам, сиздан олдингиларни ҳам яратган, Токи Тақво эгалари бўласиз,",2,21,
29,"сизга Ерни текис қилиб ёйган, Самони баланд қилиб кўтарган; Самодан сув ёғдириб, сизга ризқ қилиб хосиллар чиқарган. Шуларни билиб туриб, ўзгаларни Аллоҳга тенг қилиб олманг.",2,22,
30,"Агар қулимизга нозил қилганимиздан шубҳангиз бўлса, унга ўхшаш биргина сура келтиринг, ва Аллоҳдан ўзга гувоҳларингизни чақиринг, агар шубҳангиз рост бўлса.",2,23,
31,"Агар келтира олмасангиз, асло келтира олмассиз ҳам, у ҳолда ёқилғиси одамлар ва тошлар бўлган ўша Оловдан эҳтиёт бўлинг/тақво қилинг, у кофирлар учун тайёрлаб қўйилган.",2,24,
32,"Имон келтирган ва солиҳ амал қилганларга мужда бўлсинки, уларга остидан анҳорлар оққан боғ-роғлар бор. Ҳар гал унинг мевасидан баҳраманд бўлганларида, “Бу бизга олдинроқ ҳам берилган ризқлар”, дейишади. Уларга ўхшашлари хам берилади. Уларга у ерда бу ризқнинг покиза турлари бор; улар у ерда доимий қоладилар.",2,25,
33,"Албатта, Аллоҳ бирор қисмий мисолни ёки ундан яхшироғини мисол келтиришдан ҳаё қилмайди. Имон келтирганлар буни Раббидан ҳаққ эканини биладилар. Кофир бўлганлар эса дейдиларки: “Аллоҳ бу мисол билан нимани ирода қилган?” Бу билан кўпларни адаштиради, кўпларни Тўғри Йўлга йўллайди. Бу билан фақат Фосиқларни/йўлдан озганларни адаштиради, (оятда - БАЪУЗА - умумдан озроқ қисмий мисол, ФАВҚА - уст бўлган, яхшироқ бўлган; яъни ўтган китоблардан келтирилган оятларнинг мисли ёки яхшироғи - 2:106)",2,26,
34,"улар Аллоҳ билан Аҳд* боғлагандан кейин бузадиган, Аллоҳнинг боғлашга буюрганини узадиган, Ер юзида бузғунчилик қиладиганлар. Зиён кўрувчилар/бой берувчилар ана ўшалар. (Аллоҳ билан боғланган Аҳд ва уни бузиш - 2:63,83)",2,27,
35,"Сиз ўлик эканингизда, У сизга ҳаёт берди, сўнг яна ўлим беради, сўнг тирилтиради, сўнг Унга қайтариласиз. Яна қандай қилиб Аллоҳга кофир бўласиз?",2,28,
36,"Ер юзидаги борлиқни сиз учун/сизнинг эҳтиёжингизга мослаб яратган Унинг Ўзидир. Сўнгра Самога йўналди, уни ҳам Етти Само қилди, У барча нарсани билгувчи.",2,29,
37,"Эсла, Раббинг Малакларга/илм ва куч эгаларига деди: “Мен ер юзида Халифа* қиламан”. Улар дедилар: “Ер юзида бузғунчилик қиладиган ва қонлар тўкадиганними? Биз Сени ҳамд ва тасбиҳ ила тақдис* этамиз”. У деди: “Сиз билмаганни ёлғиз Мен биламан”. (*Халифа - Илм ва Амр берилган; бирининг ортидан бошқаси келадиган - Расул ва Набийлар ҳамда уларнинг умматлари)",2,30,
38,"Одамга барча Исмларни билдирди, сўнг уларни Малакларга рўбарў қилди ва деди: “Агар содиқ* бўлсангиз, ана шу исмларни хабар беринг Менга”. (*Ҳамд ила тасбиҳ ва тақдис учун Аллоҳни етарлича танишларида содиқ бўлсалар)",2,31,
39,Улар дедилар: “Сен Пок ва Олийсан! Сен бизга билдирган илмдан бошқа илм йўқ бизда. Илм ва Ҳикмат эгаси ёлғиз Сенсан”.,2,32,
40,"У деди: “Эй Одам, уларга ана шу исмларни хабар бер”. Уларга исмларни хабар берганида, У деди: “Осмонлару-Ернинг ғайби Менга маълум, ва сизнинг яширину-ошкор нимангиз бор, барчасини Мен биламан демаганмидим?!”",2,33,
41,"Эсланг, Биз Малакларга дедик: “Одамга сажда қилинг/тўлиқ бўйсунинг!” Барчаси сажда қилди/тўлиқ бўйсунди, фақат Иблис бўйин товлади, кибр қилди ва кофирлардан бўлди.",2,34,
42,"Дедик: “Эй Одам, сен ва ҳамроҳинг Жаннатни маскан тутинг. Унда истаганингиздан енг, мана бу шажарага яқинлашманг, акс ҳолда золимлардан бўласиз/бошқалар ҳаққига ноҳақлик қилган бўласиз”.",2,35,
43,"Шайтон/йўлдан оздирувчи уларни тойдирди ва жаннатий ҳолатларидан чиқарди. Биз дедик: “Тарқалинг, бир-бирингизга душмансиз, сизга Ер юзи бир муддатгача яшаш ва фойдаланиш жойидир”.",2,36,
44,"Одам ўз Раббидан Сўзлар олди, У ҳам унга қайтди/унинг тавбасини қабул этди. Зеро У Таввоб Раҳим /тавбаларни қабул қилувчи, бандасига қайтувчи ва раҳмдил.",2,37,
45,"Биз дедик: “Барчангиз тарқалинг ундан! Мендан сизга Тўғри Йўл келади. Ким Менинг Тўғри Йўлимга эргашса, уларга хавф-хатар йўқ ва улар маҳзун бўлмайдилар”.",2,38,
46,"Бизнинг оятларимизга кофир бўлганлар ва уларни ёлғон санаганлар эса, Олов аҳлидир, унда доимий қоладилар.",2,39,
