"No","Text","Izohli","SurahNo","AyahNo"
"2:102","Улар шайтонлар/йўлдан оздирувчиларнинг Сулаймон ҳукмига қарши уқтирганларига эргашдилар. Сулаймон кофир бўлмаган, аксинча Шайтонлар/йўлдан оздирувчилар кофирлар эди, улар одамларга сеҳрни ўргатар эди/йўқни бордай кўрсатар эди, яъни Бобилда икки Малак орқали ўргатилган Хорут ва Морут* таълимотига эргашдилар. Улар иккиси “Биз фақат фитнамиз, сен кофир бўлма” демай туриб, ҳеч кимга ўргатишмасди. У иккисидан улар фақат эр-хотин орасини айирувчи нарсаларни ўрганишарди. Уларнинг сеҳрлари Аллоҳнинг изнисиз/ Аллоҳ қўйган қонунлари ташқарисида, ҳеч кимга зарар беролмайди. Улар фойдасиз, балки зарарли нарсаларни ўрганишарди. Улар аниқ билардики, уни сотиб олганларга Охиратда бирор насиба йўқ. Сотилган эвазлари нақадар ёмон, қанийди шуни билсалар. (Ҳорут ва Морут - зардуштийлик эътиқодида ХУРДОД мукаммаллик, АМРДОД эса абадиятни англатувчи теологик концепциялар. Шайтоннинг ёлғон қасамлар ичиб, Одамни жаннатдан чиқарган икки ваъдаси - Абадият дарахти ва битмас-туганмас Мулк - 20:120)","",,
"2:103","Агар ишониб, тақво қилганларида/ бундан тийилганларида, Аллоҳ ҳузуридаги эваз яхшироқ эканини билсалар эди.","",,
"2:104"," Эй имон келтирганлар! “Бизга чўпон бўл!” деманг, “Бизга нозир бўл!” денг ва қулоқ солинг. Кофирларга/инкорчиларга Аламли Азоб бор. (*Тилни буриш билан “Роъина!” калимаси иброний тилида камситувчи маънога - “Бизга чўпон бўл!”, “Эй ғурурланган кимса!” каби маънолар олиши мумкин. Баъзи душманлар Расулга бу каби ҳақоратли хитоблар қилишган (4:46). Қуръон бизга тўғри сўзларни ишлатишга буюради (33:70). Оят давомидаги “Бизга нозир бўл!” амри билан Расулнинг диндаги мавқеи билдирилади. Расулга эргашиш сурувнинг чўпонга/жамоанинг бир раҳбар шахс истагига/инсофига ўзини топшириши эмас, балки Аллоҳ нозил қилган ваҳйдаги йўл-йўл-йўриқларга онгли равишда эргашишдир (7:3); ва Расул/раҳбар шахс буни фақат назорат қилиши мумкин. Бунинг аксини қилувчи кофирлар, Аллоҳнинг нозил қилгани ёнида ўз ҳукмини динлаштира бошлайди ва оқибатда жамоани подалаштиришга олиб келади).",*,,
"2:105","Аҳли Китоб орасидаги кофирлар ҳам, Мушриклар ҳам Раббингиздан сизга бирор хайр келишини хуш кўрмайди. Аллоҳ истаганини Ўз раҳматига хос қилади. Аллоҳ Улуғ Фазл Эгаси.","",,
"2:106","Биз бирор оятни нусха қилиб келтирсак ёки келтирмай қолдирсак, ундан яхшисини ёки ўхшашини келтирамиз. Билмасмидинг, Аллоҳ барча нарсага қодир/барча нарсанинг аниқ ўлчовини қўйган.","",,
"2:107","Осмонлару-Ернинг Мулки/Подшоҳлиги Аллоҳнинг эканини билмадингми; сиз учун Аллоҳдан ўзга валий/йўл кўрсатувчи ҳам, ёрдам берувчи ҳам йўқ.","",,
"2:108","Ёки сизга келган Расулдан ҳам, бир пайтлар Мусодан сўралгани каби сўрамоқчимисиз?! Ким иймонни куфрга алмаштирса, Тўғри Йўлдан адашибди.","",,
"2:109","Аҳли Китобнинг кўпчилиги, уларга ҳақ очиқ-равшан бўлганидан кейин ҳам, ўз ичларидаги ҳасад сабабли, сизни имондан сўнг куфрга қайтаришни истайди. Аллоҳнинг буйруғи келгунича, кечиримли бўлинг ва уларга тенглашманг. Аллоҳ Ўзи барча нарсага қодир/ҳар бир нарсанинг ўлчовини қўйган.","",,
"2:110","Сиз Салотни қоим қилинг/Кўрсатилган Йўлга эргашинг, Закотни ато этинг/Қайтариқлардан тийилинг, ўзингиз учун тақдим этган яхшиликларни Аллоҳнинг ҳузурида топасиз. Албатта, Аллоҳ амалларингизни кўриб туради.","",,
"2:111","Улар дедилар: “Жаннатга яҳуд ёки насородан бошқалар кирмайди”. Бу уларнинг орзулари холос. Сен айт: “Агар содиқ бўлсангиз, далилингизни келтиринг”.","",,
"2:112","Йўқ! Ким борлиғини Аллоҳга таслим этса, яхшилик қилувчи бўлса, унинг эвази-мукофоти Рабби ҳузурида. Уларга хавф-хатар йўқ, улар маҳзун бўлмайдилар.","",,
"2:113","Китоб ўқиб туриб, Яҳудлар деди: “Насороларнинг далили яроқсиз”, Насоролар ҳам деди: “Яҳудларнинг далили яроқсиз”. Китобдан илмсиз жоҳиллар ҳам уларнинг гапига ўхшаш гап айтганди. Қиёмат куни Аллоҳнинг Ўзи улар орасидаги ихтилоф борасида ҳукм қилади.","",,
"2:114","Аллоҳнинг масжидларида Унинг Исми зикр этилишини манъ этувчи ҳамда уларни бузишга ҳаракат қилувчи кимсалардан-да золимроғи борми? Улар у ерларга фақат қўрқув ила киришлари керак эди! Уларга дунёда Хорлик, Охиратда Улуғ Азоб бор.","",,
"2:115","Машриқу Мағриб Аллоҳнинг. Қай тарафга юзланманг, Аллоҳнинг юзи ўша ёқда. Албатта, Аллоҳ Восиъ Алим/кенг ризқ берувчи, билгувчи.","",,
"2:116",Дедиларки: “Аллоҳ фарзанд олди”. У бундан Пок ва Олийдир! Осмонлару-Ердаги барча борлиқ Унинг. Барчаси Унга бўйин эгади.,"",,
"2:117","Осмонлару-Ерни йўқдан бор этган, бир ишни ирода этганида, унга: “Бўл!” дейди - бўлади.","",,
"2:118","Билмайдиган кимсалар дедилар: “Қанийди Аллоҳ бизга гапирса, ёки бизга ҳам бирор оят/ишора келса”. Улардан олдингилар ҳам уларнинг гапига ўхшаш гап айтишган эди - қалблари ўзаро ўхшаш. Биз қатъий имон эгаларига оятларни баён қилганмиз.","",,
